Designator,Mid X,Mid Y,Layer,Rotation
a0,35.30600000mm,6.60400000mm,Top,0
aC0,35.43300000mm,1.77800000mm,Top,180
U10,47.75200000mm,-104.52100000mm,Top,0
U3,66.42100000mm,6.73100000mm,Top,0
U9,64.26200000mm,-92.20200000mm,Top,0
U6,78.74000000mm,-14.09700000mm,Top,0
U7,73.66000000mm,-35.56000000mm,Top,180
U8,67.94500000mm,-68.96100000mm,Top,0
U11,15.36700000mm,-104.39400000mm,Top,0
U12,4.82600000mm,-87.75700000mm,Top,0
U13,8.00100000mm,-69.08800000mm,Top,180
U14,14.22400000mm,-34.79800000mm,Top,180
U15,18.54200000mm,-14.09700000mm,Top,180
U16,25.52700000mm,-49.65700000mm,Top,180
U17,57.53100000mm,-49.65700000mm,Top,0
U18,31.49600000mm,-24.00300000mm,Top,180
U20,61.46800000mm,-22.35200000mm,Top,0
U21,52.45100000mm,-77.08900000mm,Top,180
U22,35.43300000mm,-82.42300000mm,Top,180
U23,22.98700000mm,-74.93000000mm,Top,180
C2,66.42100000mm,1.39700000mm,Top,180
C3,79.12100000mm,-19.17700000mm,Top,180
C4,73.78700000mm,-30.35300000mm,Top,0
C5,68.07200000mm,-74.04100000mm,Top,180
C6,64.38900000mm,-97.28200000mm,Top,180
C7,48.00600000mm,-109.47400000mm,Top,180
C8,15.49400000mm,-109.60100000mm,Top,180
C9,5.08000000mm,-92.96400000mm,Top,180
C10,7.87400000mm,-64.13500000mm,Top,0
C11,14.09700000mm,-29.33700000mm,Top,0
C12,18.41500000mm,-8.89000000mm,Top,0
C13,31.24200000mm,-18.79600000mm,Top,0
C14,48.38700000mm,-20.06600000mm,Top,180
C15,61.59500000mm,-27.55900000mm,Top,180
C16,25.40000000mm,-44.32300000mm,Top,0
C17,57.53100000mm,-54.99100000mm,Top,180
C18,52.32400000mm,-72.13600000mm,Top,0
C19,35.43300000mm,-77.47000000mm,Top,0
C20,22.86000000mm,-69.72300000mm,Top,0
U19,48.26000000mm,-15.11300000mm,Top,0
